deal_name,property_type_code,properties,valuation_amount,valuation_share_pct
benchmark_2025_v18,MF,29,1110700000.0,27.38
benchmark_2025_v18,LO,32,1085000000.0,26.74
benchmark_2025_v18,OF,16,962200000.0,23.72
benchmark_2025_v18,RT,5,462700000.0,11.4
benchmark_2025_v18,MU,6,233150000.0,5.75
benchmark_2025_v18,IN,2,85200000.0,2.1
benchmark_2025_v18,98,4,69350000.0,1.71
benchmark_2025_v18,SS,3,36400000.0,0.9
benchmark_2025_v18,MH,1,12600000.0,0.31
gs_2018_gs10,OF,8,1401751000.0,45.84
gs_2018_gs10,IN,19,557478000.0,18.23
gs_2018_gs10,RT,12,308280000.0,10.08
gs_2018_gs10,MH,9,205200000.0,6.71
gs_2018_gs10,,15,202503000.0,6.62
gs_2018_gs10,MF,1,180400000.0,5.9
gs_2018_gs10,98,3,136800000.0,4.47
gs_2018_gs10,MU,1,37900000.0,1.24
gs_2018_gs10,LO,2,27600000.0,0.9
